set term gif size 8000, 8000 font "Times-Roman,90"
set output "chen_traj_img.gif"
set xlabel "x"
set ylabel "y"
set zlabel "z"
set xrange [-40:40]
set yrange [-40:40]
set zrange [0:60]
splot '-' with line
-10.61435497 -10.68425278 24.63531671
-10.61447123 -10.68248662 24.63721884
-10.61458429 -10.68071715 24.63911962
-10.61469417 -10.67894436 24.64101905
-10.61480087 -10.67716826 24.64291711
-10.61490438 -10.67538885 24.64481382
-10.6150047 -10.67360614 24.64670916
-10.61510184 -10.67182012 24.64860314
-10.61519579 -10.67003079 24.65049575
-10.61528656 -10.66823816 24.65238699
-10.61537415 -10.66644223 24.65427686
-10.61545855 -10.664643 24.65616535
-10.61553978 -10.66284048 24.65805246
-10.61561782 -10.66103466 24.65993819
-10.61569268 -10.65922554 24.66182254
-10.61576436 -10.65741313 24.66370549
-10.61583287 -10.65559744 24.66558706
-10.61589819 -10.65377845 24.66746724
-10.61596034 -10.65195618 24.66934602
-10.6160193 -10.65013062 24.67122341
-10.61607509 -10.64830178 24.6730994
-10.61612771 -10.64646965 24.67497398
-10.61617715 -10.64463425 24.67684716
-10.61622341 -10.64279557 24.67871893
-10.6162665 -10.64095361 24.68058929
-10.61630641 -10.63910838 24.68245824
-10.61634316 -10.63725988 24.68432577
-10.61637672 -10.6354081 24.68619188
-10.61640712 -10.63355306 24.68805658
-10.61643435 -10.63169474 24.68991985
-10.6164584 -10.62983317 24.69178169
-10.61647928 -10.62796833 24.69364211
-10.616497 -10.62610022 24.69550109
-10.61651154 -10.62422886 24.69735864
-10.61652292 -10.62235424 24.69921476
-10.61653112 -10.62047636 24.70106943
-10.61653616 -10.61859523 24.70292267
-10.61653804 -10.61671084 24.70477446
-10.61653674 -10.6148232 24.70662481
-10.61653228 -10.61293231 24.7084737
-10.61652466 -10.61103818 24.71032115
-10.61651387 -10.6091408 24.71216714
-10.61649992 -10.60724017 24.71401167
-10.61648281 -10.6053363 24.71585475
-10.61646253 -10.6034292 24.71769636
-10.61643909 -10.60151885 24.71953651
-10.61641249 -10.59960527 24.72137519
-10.61638273 -10.59768845 24.7232124
-10.61634981 -10.5957684 24.72504814
-10.61631373 -10.59384511 24.72688241
-10.61627449 -10.5919186 24.7287152
-10.61623209 -10.58998886 24.73054651
-10.61618654 -10.58805589 24.73237634
-10.61613782 -10.5861197 24.73420469
-10.61608595 -10.58418029 24.73603154
-10.61603093 -10.58223765 24.73785691
-10.61597275 -10.5802918 24.73968079
-10.61591142 -10.57834273 24.74150317
-10.61584693 -10.57639045 24.74332406
-10.61577929 -10.57443495 24.74514344
-10.6157085 -10.57247624 24.74696133
-10.61563455 -10.57051432 24.74877771
-10.61555746 -10.56854919 24.75059258
-10.61547721 -10.56658086 24.75240594
-10.61539381 -10.56460933 24.7542178
-10.61530726 -10.56263459 24.75602813
-10.61521757 -10.56065665 24.75783695
-10.61512473 -10.55867551 24.75964426
-10.61502874 -10.55669118 24.76145004
-10.6149296 -10.55470365 24.76325429
-10.61482731 -10.55271293 24.76505702
-10.61472188 -10.55071901 24.76685822
-10.61461331 -10.54872191 24.76865789
-10.61450159 -10.54672162 24.77045603
-10.61438673 -10.54471815 24.77225263
-10.61426872 -10.54271149 24.77404769
-10.61414758 -10.54070165 24.77584121
-10.61402329 -10.53868863 24.77763319
-10.61389586 -10.53667243 24.77942362
-10.61376529 -10.53465305 24.7812125
-10.61363158 -10.5326305 24.78299983
-10.61349473 -10.53060478 24.78478561
-10.61335474 -10.52857589 24.78656983
-10.61321161 -10.52654383 24.78835249
-10.61306535 -10.5245086 24.7901336
-10.61291595 -10.52247021 24.79191314
-10.61276341 -10.52042865 24.79369111
-10.61260774 -10.51838393 24.79546752
-10.61244894 -10.51633606 24.79724236
-10.612287 -10.51428502 24.79901563
-10.61212193 -10.51223083 24.80078732
-10.61195372 -10.51017349 24.80255743
-10.61178239 -10.50811299 24.80432596
-10.61160792 -10.50604935 24.80609291
-10.61143032 -10.50398255 24.80785828
-10.61124959 -10.50191261 24.80962206
-10.61106573 -10.49983953 24.81138425
-10.61087875 -10.4977633 24.81314485
-10.61068863 -10.49568394 24.81490386
-10.61049539 -10.49360143 24.81666127
